text,toxic
gosta frio chuva q fuder pprt ..,1
j sei dizer,0
chegarem coma alcolica s estpido,0
"rt carro seguro , importa acidente ... ningum morre !",0
"fuma iqos , tm cinzeiros portteis prendem mao disponveis site",1
"comassim guria kkkk , penso q vc deve priorizar vc mesma oq faz bem , s vai ter sentimento good",0
mida sacana yh depend on hows asking morriiii,0
acabou publicar foto,0
vai toma cu porra agora n pode dormir,1
"pegar nibus emmily comea gritar sophya tesuda mano nibus lotado , velho",1
tanto t puto d pra descrever .,0
"puta merda tambm , toda vez vejo to falando disso algum sorriso cara",0
"moro pqp , lugar 27 mil habitantes",0
ah vai tomar cu infeliz,1
"rt aps quase doi ano , joo gordo est volta entrevistas comida vegana panelao via",1
voc pt divide nordestinos roubando . voc cara pau nojo nojento hora vai chegar vai fazer companhia pra luladro cadeia foro privilegiado vai acabar cuida bons ano cadeia,1
nenhum f arctic monkey nada parece t rolando borom arctic monkey aqui,0
acabou sair operao t assim kkkkkkkkkkkk,0
"cachopas 10 ano refilar comigo razo aparente estupida , vo fix vocs . acalmemse l sff",1
gente todo sampaio decola vida n decolar tbm vou ficar puta,1
"galera algum sabe onde vende rplicas 2 linha tnis nova odessa ? beb , adolescente adulto . grata",0
"1 gol , boa irmo",0
"pai fez arrumar toda , p dizer ainda est l madureira .. pqp",1
"mina est lutando contra extremum ansiedade insegurana . nenhum diagnstico concludo ainda , consultando profissionais tal",0
"parabns ! ! ! competies , s faz clubes europeus ficaram olho gordo futuros craques mengo .",0
"cu doce , realmente quero !",1
rt onde quadrado vai fechar bonito,0
puta merda sofro viu nasci pra,0
"vc viado , s homem sente frio",1
porra s carol,1
flamengo classificou . vcs esto discutindo ? ! segue jogo caralho !,1
"aprendi java , consigo instalar caralho programa gerar cdigo .",0
nome est print pavo . melhor ficar quieta ! !,0
trabalho pra pagar conta n possvel,0
prazer satisfao estampada rosto feliz sabe mto bem extrair tooodo leitinho mamadeira cheiaaa,1
ai mano namoral,0
n depresso deu remdio anti depressivo agr to triste toma cu nunca tomo porra,1
tentar tirar ft cachorro mijou mim fdp,1
n chega falar ja fico s,0
porraa at deu vontade dar un 5 soco cara desse fdp ! fudeu,1
"s quero ver , q fechar galera , criarei grupo",0
"pqp , q video caralho",0
"passou mal , at embora cedo kkkk",0
"vei conheci pessoa ano , ficando prximos pqp mexe cmg jeito surreal , amo mt pessoa juro ! ! problema pq sepa sente msm coisa , triste realidade .",1
"ja nao aguento friozao , pqp , s calorao ir pro alvaro",1
"gleisi hoffmann , diz pt pretende lanar plano emergncia pra tirar pa crise . conto vocs contam ? kkkkkkkkkkkkkkkkkkkkkkkkk",0
odeio irmo vsf,1
n termino cara tava indo la ksa roubar mim kkkkkkk feio,1
organizao cooperao desenvolvimento econmico divulgou nota ingls demonstra preocupao cerceamento independncia juzes procuradores brasileiros lei abuso autoridade .,0
amo caralho,1
caraca vc to engraado morrendo rir aqui palhao,1
difcil esquecer ex falando toda hora kkkkkkkkkkkkkkkk,0
hehe ... boa !,0
n concordando stanear unit grupo sei la poi todos amados estao nela,0
assistir jogo brasil ligao luiz melhor coisa kakakaka caretas faz pqp,0
merda timeline carrega sozinha nunca encontro twitte tava lendo inferno vai tomar cu,1
"pra caralho , to sono preciso dormi bato doi bolo seguidos capoto kkkk",1
vcs seguirem at chegar mil seguidores ... darei cu .,1
deus cu to acreditando obrigado pqp amem homem,0
"pessoa obesa aceitar esteticamente ok dentro padro normal q deve buscado , aceitar significa saudvel",0
"au ! chensung aonde jisung , meninos populares escola resolve chamar chenle , aluno novo sala andar voc grupinho .",1
caralho q n consigo assistir netflix cu msm,0
rt dia nojo porra corpo,0
"rt q apanha , desaforado fdp",1
existe coisa idiota nesse fandom ficarem validando pessoa alheia f verdade ! ! ! vo caar algo produtivo pra fazer ficarem estereotipando algo cabe voc ningum validar,1
orgulho porra,0
pai tamo brigar me incrvel mt bom tamo bem demais n jogo lixo lixo jeito q joga pai ooooo deus vo briga,0
srio vontade chorar mandar tomar cu,1
nom fica tranquilo ta vivo,0
"homem vale caralho , juro nao vejo nadinha nele",1
"senhora , representa perfeitamente hipocrisia reinante neste pa , atulhada merda at nariz tudo rodeia , s v lixo casa outros .",1
"rt irmo imagine perder pessoa vida , sensao deve absurda n quero sentir nunca",0
acordei dor rin pqp,0
rt voce merece mundo,0
peo perdo ter chegado tarde vcs n sabem quanto amo toro pra filha puta ! ! ! amo,0
rt vdeo thanessa chorando flor ontem bobeira cr kkkkkkkkkkkkkkk,1
"porra odeio memria lixo , montei roupa s pra usar porra casaco",1
vontade colocar potinho cuidar toda vida ig via instagram story,0
"fic ensinamento vida , fala amizade forma linda pura possvel , mostra pessoas evoluem infelizmente colher consequncias decises precipitadas . merecia virar livro .",0
"bem feito , pena q capaz cara negro fuder ter espancado arrombado",1
fala seio vizinha mto gata vsf,1
fdp rpidos,1
homem praga pqp,1
"jeito louis olha pra harry s mostra quo apaixonado , sempre olhar tanto carinho amor",0
"desde estreia turn histria procurei assistir poucos vdeos show , porra , querer vi t chorando real agora to aqui morrendo chorar tb deus cu , agosto dure 70 ano , favor ! ? setembro , venha ! ! ! !",0
paga bandido redes sociais caga pra pegar fuzil hora ver . vtnc filha puta,1
ultima vez q q ir pro hospital cara louco la la tomando soro olhando feio brigando moa la fiquei medo olhou odio . cara tava cheio odio coraao,0
kobra clube clube hebraica sp,0
daniel alves rebaixou patamar .,0
"rt s posso , fizerem lado irrito",0
retardado aqui rua som ligado,1
principalmente pedir coisa pqp raiva n afff,0
"rt amar di ? hey sabe di ? voc descobrir pessoa voc achava diferente todos , igual pior to",0
"fonte seca , sempre deixo molhada",0
voc ficou to linda nesse cabelo,0
"camarada , voc sinistro !",0
onde fiquei totalmente parte cima kkkkkkkkkkkk,0
vamos beber corona calor desse,0
cara s fala merda falando t trabalhando obra p paga penso kkkkkkkkkkkkkkkkkk cara foda,0
"puto , supertaas so jogadas pa onde so ... agora supertaa francesa china ? merda ?",1
filho pertuba baguna td sai fico sdds nenenzo mame,0
"porra namoral morena linda serio msm homem pegava , maneira amarro",1
vsf fdp,1
"brisola pensaria ? ah ! brisola est morto , babaca",1
"metodologia utilizada analisar relaes categorias econmicas ahistrica , dada pressupostos universais condies vigentes . porm , fruto filosofia analtica kant descartes , racionalizao abstrata forma verdadeira cincia",0
"porra , teso . algum chama pra fuder",1
"porra q comprei un bgl aliexpress ganhei croped , usei estampa saber ... ai todo mundo , vc gosta bts fiquei q diabo ....",1
comprei shampoo condicionador vegan t to feliz,0
vontade ir pra l ajudar ndios descerem cacete .,1
vc feio pra caramba !,1
"ai gente , sacanagem ontem parei jogar vdeo game s pra assistir apareceu kkklkklk ningum disse nada",0
"aaaaaaa amm senhor , vai ficar faltando f21 ainda f god futuro abre",0
injusto vindo pra mundo sendo nunca vou poder dar menos beijar homem,0
"bagulho louco n tirei tempinho pra vir visitar bisav t doente , dis nico faz carinho nele pra dormir pqp parei chorar desde momento",0
"rt s porque tirou , cai",0
frias caralho,1
casal feio saramago ? ?,1
porra linda amiga linda,1
"paulo saco , cara rato caralho",1
parece uma 500 pessoas aqui casa ontem pq baguna carai bicho,1
"yugyeom ganhou duas pginas revista10star votao dol champ pginas poderam feitas design prprios f . segunda vez ganhamos coisa tipo , bom trabalho ahgase ! got7",0
cara to parando tempo p fazer texto p falar flamengo mano kkkkkkkkkkkkkk vcs torcem pro flamengo j ficam louco imagina torcedor ? ? ? deixa povo comemorar porra kkk,0
caralho,1
rt fake foice sp stfvergonhanacional,1
rt lucas botti manda foto cu pelado amor deus pfv,1
cara porra mania toda hora lanar vem ca marcely maior tom seriedade atendo j pensando toda merdas fiz vida fiz tambm fim chego eh so pra olhar coisa engraadinha facebook,1
"6. coloco algo cabea , j",0
"deixa idiota . voc sabe nada ver tecnologia , sabe conta fraqueza rbitros sulamericanos poltica dentro confederao .",1
"porra celular caiu cho acende crl , pqp",0
rt guerra contra cincia caractersticas fascismo .,0
porra arrependimento mo ter investido naquele gatinho tinder,0
mesma vibe todos homens so merda s afeta,0
rt fazendo papel bom amigo marcando keylla 300 meme,0
virou rotina ver macho escroto falando mal pra ganhar biscoito ain baixei tt so pra xingar kpoper vc afrontoso,1
"puta q pariu , odeio q fique proibindo fazer oq quero",1
povo votou neles gostam des discursos at vocs vo demorar pra perceber ? !,0
escroto pra caralhooooooo,1
rt deuses nascem todos dia melhores pele preta delacruz arrasa fala srio,0
outras vou processar hbo momento final game of throne envolvendo trono ferro acidente via,0
caralho,1
vamo carai,0
bem kkkkk,0
"olha aqui , to brincando",0
rt vtnc vacilao,1
"tava ali frente cara solzinho trocando altas ideia , porra vim p baa ta friaca aqui dentro vsf",1
"bactrias cadavricas camufladas militantes polticopartidrios esquerdistas , viceversa , apavoramse diante verdade , , luz solar meiodia , atravessalhes olhos cegalhes crebro .",1
s vamo carai ! !,1
"rola dm , br fazer acontecer mrm , ideia dm ai",0
caralho kkkk,1
"chuvinha chata , pqp",0
melhor nois gabaritar merda pqp n aguento simulado,1
rt to fcil usar cu,1
kkkkkk ia legal real kk,0
"pq voc amor vida ? caralho inferno garota linda porra olha s , voc ok ? aff perfeita",1
"come carregador come fecho mochilasbolsa , come absorvente , calcinha , escova agora acabou comer doi miojo comprei tnc chegahhhh",1
homem 60 ano ferido sequncia atropelamento emalbufeira,1
vai fudeeeeeee q jogo sensacional caralho agr olmpiadas,1
m mal comeou j chorei cota inteira,0
simplesmente odeio falar mim pra pessoa fala . sinto totalmente vulnervel,0
rt porra s tempo fechar fico resfriada,0
caralho q sorte voleinaglobo,0
"hoje acordei triste , acordei certeza q vc lugar melhor , feliz aniversrio maminha , 2.2",0
vejo fico porra sei amo ? ? ? obvio bakugo j ta primeiro ? ? ! !,0
"falta pessoa respeito , sabe local atendimento fecha 13h nao deixe pra vim cima hora ! ! pessoas precisam sair pra almoar , todo mundo ta disponivel dia todo pra atender so pq nao quis sair cedo casa",0
"ahaha andei la n fazia nd quanto alimentao asism , entanto irmo bue fininho agora est gordo pq comeou mudar alimenrecow fazer exerccio ...",0
vai ter apple podcasts,0
"pessoa vai sentir desconfortvel porque vai morta , cara sente desconfortvel sabendo morto vai literalmente podendo salvar vida pessoas esto me ano filum esperando rgo ficarem bem ? ? ?",0
olhando fotos primeiro ano maria porra vou sentir falta escola amigo gosto,0
rt piranha nao muda sempre vai pisca bct pra glock cintura vemtranquilodia10,1
mim pedir,0
"rt crl , vejo hora pprt ..",1
t cansada mano pqp,1
semana paia pra chamar jade,0
rt s dessa presente,0
"rt parece puta , hahahaha . atendendo sp at amanh , whatsapp 19989357547",1
"ganhamo , caralho",1
"rt caraio , vestido sobe",0
"uh ... destruio , legal .",0
"nunca , nunca vou entender tipo pessoa abre mo amizades causa namoro !",0
sulista aberrao,1
conhece paulista ?,1
"cara gordo , espera oq ? ? ? kkkkkkk",1
rt pqp vitao religio,1
grande professore,0
assim bolsa estourou resolveu fazer unha p pq podium vir mundo p feio vocs ?,0
bicho burro demais beijou nao sabe reconhecer,1
rdnnobailedacedae vai fluir ningum vai entender nadaa haha,0
"acho to feio casal expem demais redes sociais gente , conhece casal sabe toda fidelidade exposta internet logo rano",0
"militei sobre . todo mundo qualquer fandom sexualiza idolos , todo mundo , importa gay hetero . imagina coisas mente , coisas obcenas ! ai pessoa faz , fulanas fulanos vai la cai cima matando . hipocrisia fala .",0
rt muitos dizem q porra nenhuma,1
rt tudo precisava hoje nesse frio gostoso bh macho pra fuder gostoso,1
caralho quer q chore ? ? ?,1
"vamos levantar quanto senhora levou lei roubanet ! vamos verificar postar caso sido beneficiadas esto covardemente brasil , mamarem tetas , morando europa jogando pedra distncia ! traidora ! volta c . isaura ! ! !",1
caralho to tremendo frio puta merda,1
"ei ! psiu ! ! ! oi . comigo ? sim , porra . vem aqui ? chega . chega . t ouvindo . diz . pau cu bolsonaro",1
saga fotos rola postar s tt,0
"meta terminar ano engravidar kkkkkkkkkk , porra geral grvida",0
siiiim kkkkkk ainda assim divertido pra caralho,1
"caralho , celular quebrou dnv thayn rachou ainda tela kkkk s prejuzo mane",0
"deve ligando n , pq todo dia posta lomotif",0
coisa q hormnio ta vsf,1
"agora cara vai postar coisa trampo inclusive brabo pra carai , vamo ter q aguentar povo falando q p provocar ex , ce vivem p cuidar vida outros ainda cuidam errado ... q doena",1
"bolsonaro corja moldam verdade maneira , portanto mentira . colocam , ento , fanticos bblia comisso verdade , acabar . milicos , cuja especialidade mentir chamam contrainteligncia .",1
conseguido graas dizer mal clube .,0
certeza virginpolis,0
vamos foder novo ?,1
rt cliente poxa consiga t demorando chegar . motoboy,0
rt mal j vi menos 20 vezes vdeo adoo qu . faack,1
kkkkkkkkkkkkk pqp !,1
"porra sai quarto , vou aguentar 4 ano . quero privacidade",1
"rt t cu piscando pra comprar monte roupa sendo outras coisas pra fazer , deus segura",1
bota feio nisso,1
mto noo pqp,0
"core , curvas , sabores , coisas seduz",0
vou tentar hj ! valeu flor,0
amiga perdi 50 postura piranha,0
"s quero dizer amo filme toda foras desde primeira vez vi 2015 obrigada disney dar trilogia incrvel atores , diretores todos envolvidos incrveis . descendants3",0
"pras novinha pau , pra ex tchau j",1
deve estranho transar camisinha non gente l ato olha pro menino l brilhando ariana grande,1
desbloqueia agr fodido,1
frio ta pra brincadeira pqp,1
mlk gato desse site,0
odaiv aberrao msm kkkkkk bolsonaro ta certo quer acabar promiscuidade msm,0
caralho funciona mesmoo,1
nenhum defeitinho,0
"gente , n existe trocar namoro amizade vice versa , vcs aprender separar coisas r , nenhuma relao supre outra . obvio namoradoa deve proibir sairfalar amigo , ai outra histria ... trocar relao outra , n existe",0
"final , nego xingou cara nigga . interpretei q tom irnico , cara q apanhou xingado palavra anteriormente . glossrio nigga ingls ofensa contra pessoas cor negra . algo crioulo aqui p n . pejorativo .",0
rt melhor onda histria wsl voc ridculo filipe toledo,1
pro pessoal fandom canon s querem kkkk pena,0
vai foder n pode acontecer p,1
pqp ficou incrivelmente bom ai caralho,1
vdeo satisfatrio pqp,0
"escolhendo personalidade amanh adulta , sria responsvel b sunshine kitty , bem influenciada sol leo c empoderada bonita pra caralho d cult , contra , refinada sria , kitty , empoderada cult .",1
deus dibreee kkkk detesto filme documentrio terror,0
caralho queria pegar jenni ontem q colocar frnte frente s pra vc ouvir tudo oq vc falou ontem jsnjssj vc incrivel linda,0
puta pariu to acordada queria,1
"vc lbia caralho pra desenrolar chamou pro desenrolo , caiu papo crias , j",0
"est havendo forte censura parte redes sociais contra canais direita . espao deveria plural est dando oportunidade opinies diversas . lamentvel , viu ...",0
rt caralho 5 me pra acabar ano ja kk vai leve 2019 vc ta bom pra acabar,0
menino fez gol xjdbxjfndhdhsjs,0
ai gente nao respondendo jeito q planejei cabea gente toxica caralho,1
virei psiclogo,0
conta floppar gente finge aconteceu,0
bom apetite amigo,0
passa bem ? ? ? ? ? ? corno fdp,1
paguei pau pra editora veneta agora .,1
"show , xuxa . agora pode favor ir cuidar dar amor fav deixar paz ? ? ? ? ? ? ? ?",0
"rt recepciona bom chegou , limpa casa pra mim",0
"sai tchuca vai p l , gosto s puta",1
verdade erro gay ficar dando biscoito pra htero escroto .,0
feito pra encher abraos queria tanto ...,0
"voc s fala besteira , quiser ir pra venezuela cuba , abre vaquinha pra coletar dinheiro trouxas , vocs so profissionais .",1
dorme sapato via dvidas,0
morre atropelado filho puta,1
"mesmos fazem vtimas hoje , mediram , medem iro medir esforos verem poder aliados cmplices . tempo far mscaras carem . diro enganados vez . faz moderado defesa vdd aliado mentira !",0
sentindo lixo,0
completamente apaixonada lvaro morte puta merda amor idade,0
humano lixo,1
"contrrio invs maldizer falar negativamente sobre algum , diga algo gentil , positivo , encorajador edificante acerca . quebre ciclo vicioso mal .",0
"rt queria pais mente aberta quanto tristeza sinto , falta sono , mente conturbada ...",0
queria fazer prova colgio militar entra tatuagem ento vo tudo toma cu kkkk,1
"rt indo ver amigas gosto fazer almocin , amo tanto vsf",0
20 real pra passar sexta,0
"vc produz , pe baby doll transparente preto , pedi pizza espera crush .. cara chega , come pizza , toma banho dorme . dia amanheceu frio porra .. vc diz vamos comprar besteiras passar dia junto cama assistindo filmes ? d , hoje folga dia beber",0
total 0 pessoas,0
primeira impresso metida pocket nvel proximidade prximos gosto voc sim considero colega onde conheci kika pra honesto reded burro,0
"putz , tocou ponto clere pra destruir mudana cenrio janelas intenacionais invertidas n , preocupa demais ... pqp !",0
"rt sm inferno , empresa burra caralho problema ? ? ? ? ? ? ? ? ? ? ? ?",1
contratao to impactante poca lembro amigo torcia fluminense simplesmente virou flamengo causa dessa contratao,0
"coisa lindx desse mundo , vamos comer ?",1
rt cada vez c volta sabor beijo novo,0
s falta sculo . at eminem surra talento caralho only jab,1
"falha pode entrevistar , j antagonista pode . lindo ! bela democracia ! cara pau dizer autoritrio bolsonaro .",1
queria saber doi fdp ta falando merda mim q n vdd,0
"920 redao erro besta , , nariz todo fudido ideia merda , , pele parecendo chokito .... assim sorriso cara menina forte forte ! ! ! admirao total ...",0
pique gol meti ontem associao,0
"rt saiba , ningum",0
agora to empacada nessa merda pq filha puta nao responde kk fodase nunca confio ninguem,1
compro copo fdp,1
bem tranquila kkk,0
"esqueci porra culos dnv , passar dia todo dor cabea",0
"rt puta merda , enaltea vitao",0
tudo pra dar errado . j,0
to puta c cara so pq audacia comparar fucking metallica kpop,0
"rano ? vai fuder , dio vagabundos tenta recrutar crianas .",1
"to estudando histria maranho , md lembro nada . inclusive to puto fato n poderamos ter sido colonizados france merdas portuguese expulsaram . j pensou n maranhenses falando franc ? ia ficar nooooojo",1
piercing vai dar queloide certeza vai p merda to puta,1
. vio ridculo,1
rt cospe agora desgraado,0
putinha aguente 3 kkkk socorrooo,1
vagabundo nada perder.o valioso perdeu dignidade homem honesto .,1
homem tudo intil 0 pacincia,0
mlq so jos campos est frio caralho ! ainda cima est chovendo ventando .. sinusite t mt agradecida,1
final tarde t pronta s colar einn kkkk,0
rt porra caralho,1
carai q sexta pcr kkkkkkkkkkk viradao,0
"algum conterrneo brasileiro morador reas alto risco incndio portugal ? quero conversar vocs notcia sobre situao momento . dm abertas , obrigada !",0
"rt vlei bosta , tomar cu",1
"coisa j ouvi amigo nunca ingratido j fortaleceu . verdade , verme deixa saudade !",0
porra vivo batendo alguma parte corpo algum lugar casa,0
rt algum pode colocar foto museu favor ? mpn nowunited uniters,0
j cortado lixo meio perna faca,0
"rt mano ? ? ? ? ? s pessoa imbecil , tipo , porra quebra ovo desse jeito ? ? ? ? ? ? ?",1
povo la deve conhecer gente casal sapatao vive brigando jdhdkdhdkdjd pqp,0
"meio festa dentro voc , i i , desgraada sabe fazer , i i , s cerveja chego voc , i i",1
aa deixaria feliz hoje,0
"pequena thread desabafo . j cansada chamam hate internet , toda militncia desnecessria falta esprito todos vocs .",0
porra hj n botei p rua tdio nome,1
"negcio quase lado casa t demora porra , raivaaaaa",1
tira muita onda pqp,0
bom .,0
reprter ramalho jct.jornal cidade tiradentes greenwalt americano honesto s bandido olha cara deste sfados desta prostituta desta vagabundo desta vaca poltica autoridades corruptas poema verdade.g,1
rt matria asquerosa ... repdio !,0
"noite claro passei , medo mente .",0
j perco tempo povo q quer diminuir conquistas segunda gerao pra enaltecer fav ... t nessa vida desde 2009 nunca passei tanta raiva qnto ness ltimos ano ... deveria ter aprofundado nessa vida,0
"pra t falando violncia contra trabalhador , seguinte geralmente t falando q caso , madeireiro patro . extrai , falsifica documento vende . tambm so prprios ameaam matam ndios . podem rir vontade peso conscincia .",0
"puta merda , vale at apoiar absurdo imposto sobre videogame abastecer narrativa catica imprensa ! ! ! ! lixo ! ! ! !",1
"gente preciso lavar cabelo , pqp",1
"bolsonaro fala 2017 vdeo game crime , hoje gamers pagando pau pra falar possibilidade baixar imposto sobre game",0
rt mt feia inacreditvel algum to desprovida beleza assim nenhum detalhezinho bonito nenhum,1
vox doi sao maravilhosos demais pqp,1
"rt fuder comigo n quer , agora fuder psiclogico quer fcil n",1
"casa tricolor carioca recebe forte time internacional , ganha ?",0
"mood sextouu , at formiga faz chora dia hoje",0
"rt odeio querer usar coisas n estarem comigo , j fico emburrada j",0
"rt pqp , pq velho morr logo ?",1
tamo nove,0
vai calma filhos cuidado ! !,0
matria retardada,0
rindo pqp mulher graa,0
"caralho olha mudana , fudeu tt s vai dar agora , muitas garotas vo entrar depresso pq s engordam barriga cara ...",1
kkkkkk pau,0
porra vc pede pra acabar discusso provoca so 3 mimizentas lavradores contra 1 ... foda ! ! ! aqui ... vc par gostando .. ento vamos l ...,1
"vai rolar ... deltan afastado cnnp , conforme j combinado toffoli . caras acham deuses , agindo criminosos !",0
rt achar bonito feio nico trao personalidade,1
odeio ? mandei coisa caralho instagram vc respondeu,1
"rt bem enganado , gaja linda est nesta foto",0
deus falando nisso assistir han solo caralho netflix,0
"rt juro puta linda , precisares alguma cena avisa",0
"casa bagunada pqp , mvel pra todo lado",1
amlia ....,0
nisso so un campees . irritantes porra .,1
"to palhaa ness ltimos dia toda histria renjun , comeback nct u planejei inteiro , outras histria neocity , agora vou s rir assim pessoas to rindo enquanto palhaa , vou levar boa rir",0
troxa,1
saudades apanhar puta,1
rt caralho pensei willa deus gato idntico gato,0
rt porra chuva q parar,1
rt santiago esvox,0
"fazer comida forno pura burrice , demora mil vezes fritando cozinhando panela , gastando dobro g , pqp pq ainda insiste nisso",1
"gaga t certa afastar twitter , f base gringa escrota demais , tomem tiro cu otarios",1
pequenos incndios toda parte,0
rt menina twiter so fala sexo droga conservadora assunto protituico poupe viu,1
rt porra j socado faca cu desse maluco doente caralho,1
"cala boca idiota , queria saber aguentei todo tempo",1
divulgao eletrocfalo pesadssima,0
"paraibano acho vcs esquerdistas so doentes esto torcendo pro pa dar errado . voc nordestino tambm t pro nordeste , fica falando besteira",0
rt filho,0
maior historia ? nao vi ninguem dizendo,0
paraba dindo ..,0
"q puta d dor d barriga q tou ter , gd nojo",0
parece couve flor sla q roupa ridicula,1
"conhecemos tt , namorada poca proibiu falar . fiquei solteira voltamos falar , bem qnd sair casa pq aceitava sapato ai primeiro dia casa nova ficamos dp moramos junta at hj",0
"u , luladrao deixou tudo saneado ? s limpou cofres pblicos ?",1
"rt uma meninas ficam solteiras parecem carne promoo kkkk , soubessem quanto eh feio viuuu",1
amg,0
"querido toda droga causa dano , inclusive remdios controlados parte famlia vrias pessoas tomam . quero enfiar baseado bem rabo bolsonaro cretino , legalizado , usurios vo parar fumar , s aguentem .",1
"apaga q ainda d tempo ... pensando bem , d ! j viu vdeo ? ? ?",0
n paro espirrar pqp,0
"j gostei tanto maicon quanto petros , ocorrido libertadores semi paulista , respectivamente , apaguei doi memria .",0
axei pouco ainda fdp desgraado,1
rt qnd gente junta,0
hora acordei pqp,1
enquanto vocs saem hoje irei ficar aqui online reclamando twitter vsf,1
"n p deixar passar branco n oq gurizada boror danou ontem noite , tirei chapu pro guris , to voando , apresentao caralho , parabns envolvidos .",0
deltannapgr,0
apoio pacote anticrimes . stfvergonhanacional,0
"esquerdista pode ver vergonha j quer passar , n ?",1
"meninas , twitter comeou seguir !",0
"claro , netflix investido nada bom ultimamente . catlogo t bem raso repetitivo . amazon prime acha tudo .",0
q lindoooo diferente muitos ai professor amiga r,0
vou namorar porra nenhuma hein deus livre to boa,1
rt merda depender outros pqp,0
cada foto tiro,0
dependendo pq hoje dia amizade cu rola,1
"logo menos ta pista clipe light famlia , 22music pra caralho ! puder fortalecer rt ai , tamo junto ! !",0
caralho jk tw parecendo yugyeom cabelo grande put perfeio,1
caralho,0
"m vou viajar pra cidade mina simplesmente banco , , nada carte la quer dizer q to fudido pq n ando dinheiro",1
fiquei abismado . porra porta mecanismo pneumticos,1
"jeito balana bumbum bom demais , linda demais",1
"ainda bem hoje pqp imagina ficar menstruada l encima serra , toda gua n uso interno ia t preparada",1
mulher vai comer cu veykk,1
poi eh . ideia pessoas acham q . bobear mando tomar cu grave,1
rt pessoas afastam amigo comeam namorar shame on yoou queixem,0
"fode negah , feia ? aonde ?",1
"mulher garra , lutadora deixa abater . lutou durante 3 me , passou provas intensas , desgastantes pra proteger ! fez campe bbb 19 amoo",0
amo traz coisas pra mim pqp,1
rt chuva estragou rol hj pqp ..,0
"intelejumento , j falaram , casa caiu vc achou barbada golpe n ?",1
"chamei puta , voc s pode achar ruim sentir . relaxa , deve puta , ento porque ficar sentido",1
2019 gente coisa retardada larga fandom urr durr idolatro monte gente acho melhor saber vida cada umkkkkk cresce,1
tudo negro ? at vamos admitir gente ?,0
"todo mundo engorda menos , to ficando depressiva porra",0
confio potencial potencial sotaque baiano redor,0
idiota live facebook exatamente hora 11706 diria coisa dessas ?,1
rt s sorriso . tudo voc lindo .,0
"beb gua fica bem quentinhe , okay ?",0
cacete deixa sentar todos,1
rt olha pau jogador,1
"podium bloquear logo , pra parar inferno , tnc .",1
rt sedento cu,1
outro idiota aqui .,1
man nude mano manda foto jeongin sorrindo manda vdeo rindo marca coisas aleatrias sobre diz ama avisa posta selca ri piadas chora boiolices sobre escuta surtar nude mano,0
vai fode piranha vai d ladinhoooo,1
"brasil vence dominicanas tiebreak , vlei feminino garante vaga tquio 2020 vlei globoesporte",0
caralho tartaruga mt forte wtf,1
mano porra frio senso pa niteroi hoje ?,1
mt burro pq penso coisas ? ? ? pq deixo pra pensar dp passou vsf,1
onda diferente paulinha fab,0
porra lele vc amava ontem,0
"arrependo nada , tudo fiz trouxe algo , felicidade pra caralho , aprendizado sobra !",0
frio paia rinite j atacou fdp,0
"caralho , cara man kkkkkkkkkkkkkkkkkkkkk",1
diria doi besta,0
"rodei , nunca mato aula nesse carai",1
tudo criana melhor poi saio casa so cheetos pica pau,0
esto superando indianos pqp,0
rt real oficial,0
"pqp uniters fandon chato viu , j to flodando video novo",1
sei l n porra achava pessoa trabalhava dinheiro sabia sm lanou grupo caridade,1
pqp ainda bem q j voltei pra casa n ia morrer frio vento,0
todo m vou postar una foto assim,0
"faz , faz amante quer algo ...",0
hj dia baile porra,1
perdo palavra pqp . inacreditvel existir ainda defenda governos nefastos .,0
"rt gente encontra ningum nessa vida acaso , cada pessoa faz tomar cu jeito diferente .",1
"caralho , encontrei kvsh . ta todos kkkkk",1
rt chega at arrepiar md,0
rt tempinho t pedindo mama pau sigilo chama dm vamos ver meta,1
trinquei tela celular,0
caralho internet ruim,1
"j pode juntar adlio manicmio , cara louco j . atitude tb . feio to qto . jornazista cansado crime ... converta enqto tempo ... melhor ter deixado anime assustava menos qdo aparecia tml rsrs",1
"mano , deus quer perto famlia amigo , pq ganho qualquer quantia suficiente p sumir desse mapa vou pensar 2x",0
kkkkkkkkkkkkk nuuuu gata pra caralho at fiquei tmido,0
wandinha perfeita amo mulher pqp,0
"passe doi me mesma casa pessoa catapora tomar vacina previne vc , so ter f",0
"nada tio , fique assim causa gente idiota , voc incrvel",1
repente defensorzinho acefalo propriedade privada est justificando invases reunio . legal !,1
peido !,1
queria macaco pra escalar homem rvore .,0
augeeeee caralho,1
s restam 8 busca gloriaeterna ! eis caminho lev santiago2019 novembro ! brasileiro final libertadores !,0
"rt menina devia ta hospcio , problemtica caralho",1
percebi q mt fdp,1
"pais acham adultos discutindo feio pq sabiam parcela imposto pago , l bem basiquinha resolvi tudo",0
rt t tendo culto pracinha to conseguindo gritar alto q pessoal moto rock cantando rock pqp,1
kkkkkkkkkkkkkk pqp,1
qria v feia,0
"yes , passando vergonha td dia",0
rt parabns daesang m2 top video m2 x genie music award 2019 !,0
xar gostosa amo puta,0
"rt nunca suficiente nada kkkkkkk porra cara , sirvo pra nadaaaaaaa",0
corra patife . hacker presos . hora vocs esto chegando corruptos bandidos,1
"garota , comecei ontem t amandooo , pqp ! ainda bem q 3temp sai agora j quero 4 kkkk , srie phodaaaa ! !",0
queria pastel couveflor .,0
